id,common_name,scientific_name,description,habitat_info,x,y,sprite,s_image,native_status,fun_fact
1, "Periwinkle", "Littorina littorea", "A small edible marine snail.", "Suctions on hard surfaces or sediments.",850,100,"sprites/periwinkle_sprite.png","species_images/periwinkle.jpg","Non-native","Periwinkles can survive out of water for several weeks by sealing themselves inside their shells using their operculum."
2, "Hermit Crab", "Pagurus sp.", "A crustacean with a soft vulnerable abdomen that uses empty shells for protection.", "Crawls on top of sediments and surfaces.",400,450,"sprites/hermit_crab_sprite.png","species_images/hermit_crab.jpeg","Native","Hermit crabs switch to bigger shells as they grow throughout their lives and are not \"true\" crabs."
3, "Glass Shrimp", "Palaemon sp.", "A transparent shrimp named for its transparency but is not related to the freshwater glass shrimp.", "Swims around water column.",650,350,"sprites/glass_shrimp_sprite.png","species_images/glass_shrimp.png","Depends on species","Glass shrimp are nearly invisible due to their transparent bodies which help them hide from predators."
4, "Slipper Snail", "Crepidula fornicata", "A marine snail with a slipper-shaped shell.", "Suctions itself to surfaces like rocks or seaweed.",220,200,"sprites/slipper_snail_sprite.png","species_images/slipper_snail.jpeg","Native","Slipper snails often form stacks where smaller males live on top of larger females."
5, "Sea Squirt", "Styela clava", "A tunicate species known for its sac-like body.", "Attaches to submerged surfaces.",800,450,"sprites/sea_squirt_sprite.png","species_images/sea_squirt.png","Non-native","Sea squirts ae in the same phylum as humans- chordata."
6, "Eastern Oyster", "Crassostrea virginica", "A tear-shaped bivalve commonly found in estuaries.", "Cements itself to hard surfaces.", 150, 600, "sprites/eastern_oyster_sprite.png", "species_images/eastern_oyster.jpeg", "Native", "A single oyster can filter up to 50 gallons of water per day."
7, "Manila Clam", "Ruditapes philippinarum", "A resilient clam species introduced from Asia.", "Burrows in sandy or muddy sediments",900,590,"sprites/manila_clam_sprite.png","species_images/manila_clam.PNG","Non-native","Nonnative populations have been recently identified in Boston and studies are ongoing to determine their impact on local ecosystems since Summer 2025."
8, "Bay Scallop", "Argopecten irradians", "A small scallop species found in bays.", "Can burrow into sandy sediments and swim through water column.",500,150,"sprites/bay_scallop_sprite.png","species_images/bay_scallop.jpeg","Native","Bay scallops can have up to 100 \"eyes\" (photoreceptors) along the edges of their shells."
9, "Blue Mussel", "Mytilus edulis", "A common mussel species found in New England intertidal zones.", "Attaches to stationary surfaces like rocks.",435,600,"sprites/blue_mussel_sprite.png","species_images/blue_mussel.jpeg","Native","Blue mussels secrete strong byssal threads that help them cling to surfaces."
10, "Green Crab", "Carcinus maenas", "An invasive crab species.", "Likes to hide in rocky crevices or under debris and can burrow in sand.",850,350,"sprites/green_crab_sprite.png","species_images/asian_shore_crab.jpg","Non-native","Green crabs are one of the most invasive marine species in North America."
11, "Clamworm", "Alitta succinea", "A polychaete worm commonly found in marine environments.", "Burrows in sandy or muddy substrates.",795,625,"sprites/clamworm_sprite.png","species_images/clamworm.jpg","Native","Clamworms have strong jaws and can be irridescent."
12, "Spaghetti Worm", "Terebellidae family", "A polychaete worm known for its long tentacles.", "Burrows in sandy or muddy substrates with only tentacles visible.",250,630,"sprites/spaghetti_worm_sprite.png","species_images/spaghetti_worm.jpeg","Native","Spaghetti worms use their delicate tentacles which have sticky mucus to filter food from the water."
